username,komentar,Sentimen
@syifaassyifa3429,"Jujur saya orang jawa dan anak yang tidak senang dengan sound horeg, tapi bang Steven pernah lihat tidak panitia sound horeg itu terkadang sudah menyiapkan uang untuk kerusakan yang terjadi.... Videonya ada dan sudah di jelasin sama panitia penyelenggara dan ketua dari sound horegnya",0
@kuterakatsuki6857,"Coba mas lihat youtuber ini @DotCo
Dari jakarta langsung ke malang. Untuk membuktikan pada suka atau tidak warga sana. Bukan cuma katanya katanya.
Dan abang orang jawa timur kan.
Coba kalau mau bikin konten tentang sound horeg. Terjun langsung tanya penyewa atau bos yng punya sound.
Jangan katanya katanya saja lah. Saya tunggu konten anda tentang sound horeg dari pihak yang terkait disitu.
Trimakasih",-1
@alfonsusenggarbramantyo381,gua orang jawa tapi malah tidak demen sama sound horeg,-1
@Imam.salatiga,"Lucu,padahal horeg cuma di lokasi tertentu dan lokasinya sudah disepakati bersama, tapi yang repot yang nonton lewat sosmed ",1
@Harisgaming12345,"7:23 jujur sebagai penonton lu yang dari Malaysia, gua tidak habis pikir bisa ada ""budaya"" seperti sound horeg ini
gua kalau lewat meme tentang nih topik, pasti ""Apaan sudah di sukai sama sound horeg? Bass gitu daripada lagu Lu mau denger Suara kenceng rame-rame ,sana sama orang yang sepemikiran.
Kalau hobi mahal, kenapa tidak tanggungjawab kalau ada kerusakan sekitar? (kalo ada yang ganti rugi,gua respect)",-1
@ccayyie,"gua jatim, sound horeg gini pernah dipasang pas di depan rumah gua karna saat itu ada acara untuk agustusan. jujur gua keganggu banget sama suaranya, malem malem jam 11 sampai jam 3 dinyalain terus sampai telinga gua sakit. komplain ke rt malah rt nya tidak ngedengerin cuma bilang maaf doang. yang gua heranin kok bisa ada orang yang ""demen"" sama sound horeg ini. saran gua si kalau punya hobby yang bener dan jangan yang ngerugiin orang lain.",-1
@w-ch99,"dibilang ekonomi menengah kebawah si tidak soalnya per rt sewa sampai -+ 60jt, perdesa bisa sampai 300jt++ untuk semalem, yang menengah kebawah kupingnya",-1
@NevNevershine,"Ada tetangga putar musik keras saja tidak betah, tapi masih dimaklumi selama masih di batas wajar, tapi kalau sudah kelewatan ya beda cerita.",-1
@ekosunarya7766,"Sok nge dj, taunya cuma lagu benny benassi sama koplo ",-1
@ayeshaegha0201,"Saya asli orang malang dan malang jadi barometer/pusatnya sound horeg. Sound horeg di malang diadakan di tempat karnaval/penyewa sound yang panjang rute nya hanya kisaran 1-4 km saja, dengan adanya acara sound horeg juga menggerakkan roda umkm serta ekonomi lokal dan bila sound horeg diidentikkan dengan sdm rendah mungkin kurang tepat karena mereka pegiat sound (owner dan penyewa,penonton) banyak dari kalangan mampu, berpendidikan dan punya banyak uang karena sekali sewa kisaran 20-50 juta dan nilai sound dari pemilik sound bisa miliaran rupiah. Memang ada stigma/sisi negatif dan itu tidak bisa dipungkiri tetapi semua elemen yang terlibat sudah mengerti resiko dan dampaknya jika terjadi kerusakan panitia juga pasti langsung memperbaiki dan biasanya memang tidak diekspos. Segala sesuatu ada plus minusnya jadi nikmati saja dan jika tidak suka tidak perlu mencela apalagi membawa soal SDM atau suku",0
@twokaizer2452,Mereka dikatain SDM rendah saja bangga,-1
@rerimuhammad,"Sound Horeg ini saya pernah dengar entah di 2022 atau 2023, dan 2024 menjadi titik puncak dalam hal ini. Ini sering saya lihat beritanya sampai bla bla bla, dan pernah mengalami beberapa sampai keingat kalau dilihat dari segi fisika. Kalau dilihat, bagian ini masuk ke efek doppler di mana ada pergerakan antara frekuensi deteksi dan frekuensi sumber, dan kalau diperhatikan ada beberapa bagian di mana sound horeg memiliki suara dengan desible atau hertz tinggi, bahkan sampai agak bingung bagaimana menjelaskannya. Sisanya merenung akan hal ini dan kurang lebih begitu",0
@yoogsa,"Selama tahu tempat dan waktu sebenarnya tidak masalah. Nah masalahnya adalah ""Mereka"" tidak memperhatikan keadaan di sekitarnya",-1
@gozeropro,"Jadi konsentrasinya sederhana sih, cukup pada premis ""Menangah Kebawah"" saja udah.",-1
@Pedot_Del_Del,Konten baru.... lihat langsung aja... yang keganggu juga siapa.. yang nyewa orang daerah itu sendiri tapi yang keganggu orang kota atau daerah lain... .. Hahaha... Kocak lu bang....,1
@magneto5146,Saya aslii warga jatim Cuk!!! Jatim tulen Rek!!! Saya berharap sound horeg menjadi budaya indonesia yang harus dilestarikan Rek!!!! Kalau perlu sampai ke manca negara d planet ini Cuk!,1
@HiDreyy,"HOREG = GEMPA/BERGUNCANG ini bisa jadi acuan baru untuk para kontraktor kususnya drafter teknik sipil untuk menguji kekuatan struktur bangunan jadi tidak perlu lagi AutoCAD, Sap2000, HEC-RAS, ETabs dan Plaxis. Mungkin suatu saat akan muncul software baru untuk dunia konstruksi yaitu HOREG menarikk ang ang ang ang",0
@riyalfaisalgaming4586,Kebabasanmu dibatasi oleh kebabasan orang lain.  Simple padahal,-1
@rohandiren9931,"Tidak mengerti dimana letak ""enak didengarnya"" dan ""Kenapa harus bawa keliling? Simulasi gempa?"". Mudah-mudahan tidak ada seperti gitu di Kalimantan, cukup sound system untuk konser dan acara-acara nikahan doang tidak usah pakai truck keliling",-1
@ahmadraffa9733,Selain donatur dilarang mengatur,1
@AlfinMeyasa,Aslinya sound horeg tidak salah sih kalau diputar di luar pemukiman atau jauh dari pemukiman seperti di sawah atau di lahan yang jauh dari warga gitu aja,0
@bachtiarfarid9751,"Oh iya , kakakku rumahnya di malang, dia sendiri bilang tiap ngundang sound gini per KK diminta sumbangan minim 1jt , kalau tidak mau 100% dikucilin , padahal dia sendiri tidak suka nonton tapi dipaksa iuran untuk hal tidak jelas",-1
@Kliwon4,Terserah si soalnya kesukaan orang beda-beda tapi minimal cari tempat yang tidak bikin orang keganggu gitu,0
@themusic8605,memang harus ada relokasi karnaval sound horeg seperti dibuatkan jalan khusus yang jauh dari perumahan dan harus ada peran pemerintah di dalamnya,0
@alit5472,"pernah denger dan lihat video orang horeg ngasi tau harga dan pendanaan untuk sekali ngehoreg ampe berpuluh beratus berjuta juta untuk sekali tampil.. dan mirisnya dia bilang masyarakat suka jika horeg tersebut bikin rusak rumah dan fasilitas umum.. terus ada pas bagian penjelasan asal lagu dan musik dari horeg ini, yang biaya ""NGEDIT nyatuin lagu jadi panjang (yang ngambil dari yutub) dan NGEBASS BOOSTING ampe rata kanan ampe jebol jebol"" bisa ampe 2 juta sampai 10 juta... ""GILAK"" gua selaku tamatan anak IT dan tau seluk beluk pereditan duniawi, merasa IRI dan DENGKI dengan penghasilan KANG EDIT musik horeg ini.. modal nyomot nyatuin + rata kanan ngebass doang sudah ngalahin GAJI gua 5 bulan... sekali lagi ""GILA""",0
@URIB_ANIMATION,"Sumpah kenapa harus ada parade sound horeg, sudah cukup merusak telinga tapi jangan merusak rumah/fasilitas umum, jika tak muat berarti panitianya pinter karena soundnya tidak bisa lewat",-1
@bramantyodarmawan,"Intinya kita semua tau, seperti apa kualitas orang-orang yang suka sound horeg, sudah pasti orang dengan kualitas RENDAHAN. Karena sejatinya hobi orang kelas atas tidak akan mengganggu orang lain.",-1
@febriwirayanto6173,"kalau gua yang tinggal disekitar sound horeg, percayalah, tidak butuh waktu lama soud horeg itu pada rusak, pada bubar,    mereka saja bisa ngerusakin rumah orang, fasilitas umum yang mengganggu mereka, kenapa kita tidak bisa juga lakuin hal yang sama, mereka juga kan mengganggu",-1
@에빈아난다,yang asli surabaya mana demen dengerin sound horeg? wkwkwkw yang suka begituan tuh biasanya orang blasteran atau imigran,-1
@batonsafarikukuh,Sebenarnya sound horeg itu sudah ada sejak tahun 80an tapi di kampung-kampung jawa tengah cuma dulu masih pakai aki karena waktu itu belum ada listrik. Memang kalau dulu memang dicari sewa suara paling kencang,0
@wjm.official.account,"saya warga jatim daerah madiun, memang ada yang namanya sound horeg, tapi tidak semua nya sesuka hati ketika cek sound, jombang ke barat yang punya sound system entah mau cek sound atau gimana mereka juga berpikir supaya tidak mengganggu masyarakat, contoh nya di kediri, ada owner pembuat box custom plus speaker, ketika sound mereka jadi atau selesai perakitan, mereka akan mencari tempat yang lapang jauh dari pemukiman penduduk yakni di sawah atau lapangan luas untuk cek sound, jadi jangan disamakan semua ya dek ya, terutama yang suka bilang sdm rendah, emangnya yang ngaku sdm tinggi sudah ngapain saja untuk negeri ini?",1
@bachtiarfarid9751,"yang paling parah di banyak daerah acara gini pas adzan pun suara tetep dikencengin , lewat depan masjid pas ada orang sholat pun tetep tidak dipelanin , Parah",-1
@agriansyahq.b850,"Saya tidak suka Sound Horeg sih, tapi tolong nanti kalau Bahrain main ke Indonesia tolong banget ini mah, tolong maenin Sound Horeg nya di depan Hotel Bahrain, kalau perlu 100 Truck maenin tuh Sound Horeg. Hehehe",0
@Ken.Chanel,Anda kebiasaan hidup di kota yang tidak kenal budaya gotong royong guyup rukun antar masyarakat atau tetangga...,1
@roisrosidhin9391,"yang dilewati sound itu penyewa sendiri, sudah ada persetujuan daerah setempat bukan langsung tiba-tiba bunyi. panitia sudah mempersiapkan. Berita nya saja yang tidak jelas....️",1
@alfonsusenggarbramantyo381,"pas lewat gua pengen bilang ""semoga itu speaker konslet""",-1
@ridhobaihaqi144,"Horeg eksis. AC-130 USAF: ""40 mm is ready!""",-1
@simonaries5782,"Boleh saja ada sound horeg tapi harus dinyalakan di lapangan luas dan jauh dari pemukiman biar tidak mengganggu masyarakat di rumah terutama balita, orang lanjut usia, orang sakit, anak sekolah di kampung.",0
@ravencronwell409,Kalau sahur pakai saja sound horeg,1
@kevinhidayat5991,Alhamdulillahnya desa saya jika karnaval 17 Agustus jarang yang namanya pawai sound horeg karena kage kami tau apa yang warganya rasakan,0
@frashthetriangle610,Gue sih netral aja.Sound Horeg  tidak begitu masalah selama Tempatnya tepat.Kalo Ngomongin SDM Rendah atau SDM Tinggi.Citayem Fashion Week dulu juga Mirip-mirip sama Sound horeg yang sekarang,0
@Zxyel,"Kakak saya punya sound horeg tapi tidak digunain begini untuk kerja sampingan saja kadang dibuat acara seperti sholawatan, nikahan, tahlilan, dll.",-1
@XUGAG,bang sini main ke malang selatan ( kabupaten malang) surga nya sound horeggg.,0
@MediHendra47,Coba kalian begitu di kalimantan hancur itu sound camkan itu,-1
@toxicman7964,"ibuk gua stroke , dan tempat start tiap karnaval pasti depan rumah gua pas , terus gua harus gimana ya terima nasib saja, dan sound horeg itu pasti bersiapnya -1 hari sebelum karnaval sudah baris di depan rumah belum saat test sound , tambah lagi kemarin pas 17 agustus ternyata karnavalnya mulainya jam habis magrib tapi dari siang sudah pada nyala soundnya , mungkin orang-orang yang nonton pada suka soalnya mereka nonton cuma beberapa jam saja .cuma minta doanya saja semoga ibuk gua cepet sehat",-1
@banksat30,"Intinya harus diregulasi..kalau sudah ada regulasi yang jelas tapi panitia + penyewanya masih ngeyel, suruh mengadakan di tengah laut selatan saja biar pesta sama nyi roro kidul sekalian",0
@PemburuHoregPandaan,"kalau masalah soal ngerusak atau membongkar apapun itu, supaya sound systemnya bisa lewat,, itu pasti diganti panitianya yang sewa soundnya yang membokar atau mengganti kaca yang pecah tau genteng yang berjatuhan pasti diganti panitia..",1
@hkariono3164,"SOUND HOREG INI SUARA DAN GETARANNYA TERLALU KERAS, RADIASINYA BISA BIKIN KOPYOR ISI KEPALA, TOLONG DIMAKLUMI KALAU orang-orang INI SULIT DIAJAK KOMUNIKASI",-1
@IRAKAS_Channel,PADAHAL KALAU DIPIKIR-PIKIR BUDAYA DISCOUTIC DENGAN PROFESIONAL SOUND AUDIONYA JUGA KALAU DIUKUR PAKAI ALAT DB METER JUGA MELEBIHI KAPASITAS PENDENGARAN DALAM SUATU RUANGAN TAPI MEREKA JUGA ASIK-ASIK saja KAN... JUSTRU KALAU TIDAK KENCANG MALAH KURANG.... MEMANFAATKAN POTONGAN VIDIO SOUND HOREG DEMI ADSENCE....  YOUTUBER tidak MODAL,1
@hiraimomos9009,"tiap orang punya hobi yang berbeda, jadi jangan memaksakan orang agar punya hobi yang sama. Apalagi hobi itu sampai merugikan kita dengan hobi kalian yang menurutnya aman-aman saja, itu salah satu murni ketololan",-1
@muhammadimamtaufiqimam7653,"setuju lur, aku darjo anti sound horeg, meskipun bapakku punya penyewaan sound horeg",-1
@AnggaSptraa-ch6dh,Dengan banyak nya yang tidak suka dan ngehujat tidak akan berpengaruh kepada hiburan sound horeg untuk warga jatim kususnya di malang karena dengan persetujuan masyarakatnya panita dan surat izin yang jelas dengan kesepakatan yang sudah ditandatangani banyak pihak sound horeg akan tetap berjalan tanpa meperdulikan orang orang yang tidak suka karena sound horeg sudah ada sejak 2016 sampai sekarang,1
@rizkione9918,yang nyinyir datang langsung saja agar tahu sebenarnya di lapangan,1
@faizsanjaya2601,BENCI PENGERAS SUARA YANG TERLALU KERAS,-1
@umibozu4251,"Saya orang trenggalek jatim, yah kabupaten pesisir kecil lah kalau kalian tidak tahu. Dan saya sadar banget ketidaksukaan orang diluar jawa terhadap trend-trend orang-orang jatim misal seperti sound horeg, jaranan yang ada kesurupan aneh-aneh, atau perilaku norak atau bisa dibilang sangat kampungan dan mencerminkan sdm rendah, saya paham banget keresahan itu karena saya pun juga risih, miris, dan se tidak suka itu pada hal-hal seperti gitu. 

Tapi percayalah kalian orang-orang non jawa, yang suka memukul rata kalau orang jawa pasti seperti gitu, yang suka nyela-nyela dikit-dikit jatim, dikit-dikit jawa, apa-apa ngomong jawa yang jadi sasaran, saya percaya 100% kualitas kalian tidak beda jauh dengan yang kalian cela, cuman beda tipe aja",0
@Ryz829,"bawa ke ultras festival, pasti dibilang kurang nampol bass nya",0
@gendukherex8908,"Mas young mohon maaf kalau mau untuk konten seperti ini tolong di dalami sedalam dalamnya biar tidak ada miss seperti anda bilang kalau sound horeg keliling sesuka mereka, TIDAK. sound horeg itu disewa oleh masyarakat satu desa itu disewa per RT dan sudah di setujui oleh masyarakat penyewa tersebut dan lembaga desa. Nggk mungkin sound horeg keliling se enaknya walaupun hobi. Tolong di perjelas pernyataan anda mas young dalami cari beberapa sumber langsung dari owner sound sound tersebut, ada di youtube banyak kok biar tidak ada lagi yang salah paham yang belum tahu. Dan sukses untuk mas young lanjutin kontennya dan kedepannya semoga di dalami dulu mash",0
@yans619,"Jadi Inget kata pepatah: makin pintar seseorang makin pendiam & peka terhadap sekitar.
Jadi kalau suaranya separah itu artinya apa?",-1
@didikfauzi3973,Cek langsung ke lapangan mas biar tidak gagal paham,1
@MONSTERS-x3d,"Berisik si terganggu, muncul waktu pawai 17-an di tempat ku, waktu bulan Agustus. Dan itu mengganggu pendengaran si, besar banget suaranya, dari jauh aja sudah kedengaran jarak puluhan meter apalagi dekatnya, saingan sound hajatan. Sound hajatan berjalan itu. Semoga ada tindakan tegas untuk mengatasi sound horeg ini",-1
@ShionMegumi,"alhamdulillah nya di daerah saya masih bebas dari para perusuh, tapi coba saja main sound horeg disini, siapa tau ada mandau terbang nanti woakaowkwwowk",0
@arysetyawan4110,sound system tidak seharusnya bergerak keliling-keliling. Bunuh tren ini,-1
@ZxZs-zuy87,"dari pada cuma lihat dari media sosial, mending kita terjun langsung ke lokasi dan bertanya langsung ke pelaku sound horeg ini, dan bertanya ke masyarakat yang ada di sana, biar jelas kebenarannya, saya sendiri juga penasarn karena isu yang beredar...",0
@fiveszee,"mau dibilangin seperti apa pecinta sound horeg itu susah dibilangin
dikasih tau yang benerr malah diserang",-1
@kangtroll496,mengganggu karena bukan ditempatnya malah keliling di mana penduduk padat,-1
@abangteror7109,"Sound horeg masih ada sisi positifnya bang, contoh untuk ngusir VENOM",1
@Brandalpopiez11,Nyatanya sound horeg di sewa di bali...apakah bali juga termasuk sdm rendah??,0
@AsepMustofaIkhwanulJamil,"Wahai pemerintah, tidak ada niatan bikin undang-undang perkara polusi suara kah? masa unggas ayam gampang banget dibikinnya
tapi yang perkara seperti gini tidak diurus, merusak rumah, bangunan, kendaraan orang lain loh...
*Perkara merusak jembatan aja, kalau tidak viral, gua YAKIN tidak BAKALAN DITINDAK ITU...",-1
@dikialfikriraRa,Cuma tau dari konten terus di konten datang langsung lebih baik,1
@BudiSetiawan-c7u,Pro kalau kalian dengerin tuh horeg pakai headphone atau headset,1
@wargabarbar11,Lebih murah ke ibiza sih daripada nyewa sound horeg,1
@rohmanclintisan8072,"Ni bocah seperti nya kemarin nyenggol alesan gara² tidak suka tetangga stell sound kenceng-kencneg, sekarang senggol acara karnaval-an beda konsep, nyari rame doang mas? kalau gasuka-gasuka aja, tidak usah ngoceh, ganggu lu juga kaga",-1
@ariesgaming5296,"Yang nyewa warganya, tapi yang disalahin sound horeg nya. KOCAK-KOCAK",1
@Dany-wzk,"S7 sih, orang jawa itu Hama..
gua sebagai orang jawa tulen juga merasakannya, karena pepatah jaman kolonial ""banyak anak, banyak rejeki"" orang jawa beranak mulu, nanti kalau tidak bisa ngasih makan nyalahin pemerintah, kalau tidak ada kerjaan bertransmigrasi ke pulau lain, kasian yang punya pulau malah harus bersaing sama orang jawa, yang jelas dari dulu sektor pembangunan difokuskan ke Jawa",-1
@arifincepok_9726,"Sejujurnya sond horeng kalau di daerah Jawa timur mungkin banyak yang meyukai. Mungkin mereka menyukainya karena di setiap saat mendengar sond horeng jadi secara tidak langsung Meraka sudah terbiasa mendengar dan  bagi mereka tidak mengganggu atau bahkan mungkin tidak lengkap kalau tidak mendengar horeg. Beda bagi orang lain yang mungkin hanya mendengar/melihat, lewat media sosial kalau terasa menggangu itu wajar.",1
@Nurcahyoireng,"Komentar template
""Mainmu kurang jauh""
""Sini main ke jatim""",-1
@amerania2793,sound hereg kecil kemungkinan akan tampil di kota bisa pun sekali dua kali karna bla bla bla sedangkan kalau di wilayah kabupaten bisa setiap hari namun berpindah-pindah tempat perlu diketahui sound horeg itu diSEWA  bukan karena keinginan pemilik rental sound itu sendiri dan sebagai besar PENYEWA ITU Kelompok bukan idividu contoh satu desa ada 30 rt ya sound yang di daerah itu ada 30 satu rt satu sound jadi semua berdasarkan kesepakan warga dan masyarakat bukan individual ya memang susah sekali menjelaskan kepada orang-orang yang belum pernah melihat secara langsung bagaimana proses nya di event-event Karnaval di kabupaten perlu di ketahui bahwa setiap event karnaval di desa perputaran ekonomi bisa di katakan menyentuh (M) pedagang umkm usaha mikro tranpotasi kuliner tukang rias fotografer tukang parkir dan masih banyak lainnya itu semua bergerak roda ekonominya jalan tapi mau bagaimana lagi orang-orang kota belum tahu yang sebenar benarnya karena apa karna belum pernah melihat langsung bagaimana dinamika nya apa saja positif negatif nya....kaji yotuber seperti ada tolong lihat langsung secara full baru ada berpendapat jangan mengambil cuplikan-cuplikan yang belum tentu kebenaran nya jadi datanglah secara langsung dan bikinlah resit baru anda bisa menyimpulkan dengan perspektif yang benar jadi tolong modal dikit jangan comot sana sini sangat tidak modal ,1
@alfonsusenggarbramantyo381,"dulu gua sering naik angkot yang ada speaker gede di belakang, gua sering duduk deket itu speaker mana full volumenya, bahkan gua pakai headset volume full tidak ngaruh. ",1
@suarakitasuarabersama,"mereka yang suka sudah di pastikan yang rumahnya tidak di lalui sound horeg...bagi warga masyarakat yang di lalui sound horeg mereka resah dan sangat terganggu...saya sendiri yang mengalaminya..tetapi kenapa sampai saat ini..pemerintah seakan tidak ada tindakan..salah satu contohnya yang ada di wilayah ""MALANG SELATAN""...parade ini..dimulai pagi menjelang siang..sampai pagi hari...bahkan selesai menjelang siangnya lagi ( 24 jam )...semoga dengan di bahas di chann mas steven ini..ada tindakan lebih tegas lagi.",-1
@ZhankMoba3695,Sound Kesayangan SDM Jatim,-1
@A8humanity,"sound horeg itu berjalan karena disewa masyarakat, dibunyikan di tempat penyewa di arak keliling kampung bersama masyarakat yang nyewa, kalaupun ada kerusakan yang ganti rugi juga penyewa tapi yang ribut protes orang luar daerah / orang yang cuma lihat di sosmed sudah merasa si paling dirugikan  kalaupun ada warga tidak suka kalau mayoritan warga suka atas kesepakatan bersama yang minoritas ya ngalah dulu toh sound horeg tidak mungkin berhenti di depan rumahmu sampek 24 jam mungkin hitungan menit ",1
@chanwalk6774,"gua suka horeg tapi kyk aneh saja bro, yang kebanyakan komplain itu orang yang bukan dari desa situ yang ngadain acara, tapi dari kota lain yang suaranya tidak sampai sana, dan lagi kalau memang banyak yang tidak suka, tidak mungkin tiap bulan ada acaranya, saya sih heran yang dibahas fasilitas umum dirusak padahal banyak klarifikasi di ganti panitia 1000%, ayolah brok sama-sama jawa timur pasti tau lah POSITIF nya, membuka lapangan pekerjaan crew, pedagang umkm dll, ayolah cari positifnya juga kita ada acara sholawatan/santunan anak yatim sumbang sound 
Cmon man...",1
